Gmt time,Open,High,Low,Close,Volume
01.01.2010 00:00:00.000,1.61689,1.61725,1.61512,1.61693,162645296875
03.01.2010 00:00:00.000,1.61693,1.61700,1.61027,1.61415,12024790039.0625
04.01.2010 00:00:00.000,1.61395,1.62430,1.60595,1.61145,207803703125
05.01.2010 00:00:00.000,1.61155,1.61560,1.59670,1.59920,222414234375
06.01.2010 00:00:00.000,1.59920,1.60650,1.59390,1.60225,228319843750
07.01.2010 00:00:00.000,1.60225,1.60605,1.58975,1.59345,210284062500
08.01.2010 00:00:00.000,1.59350,1.61120,1.59170,1.60177,200009296875
10.01.2010 00:00:00.000,1.60220,1.60990,1.60152,1.60875,22805380859.375
11.01.2010 00:00:00.000,1.60875,1.61945,1.60650,1.61125,246907406250
12.01.2010 00:00:00.000,1.61125,1.61955,1.60635,1.61530,219479562500
13.01.2010 00:00:00.000,1.61530,1.63085,1.61370,1.62850,239556203125
14.01.2010 00:00:00.000,1.62835,1.63475,1.62505,1.63350,207158343750
15.01.2010 00:00:00.000,1.63350,1.63565,1.62115,1.62618,218746375000
17.01.2010 00:00:00.000,1.62632,1.62915,1.62335,1.62900,20964900390.625
18.01.2010 00:00:00.000,1.62900,1.63790,1.62515,1.63530,154495828125
19.01.2010 00:00:00.000,1.63520,1.64585,1.63130,1.63595,249828171875
20.01.2010 00:00:00.000,1.63600,1.63715,1.62445,1.63040,215028625000
21.01.2010 00:00:00.000,1.63040,1.63130,1.61260,1.62020,225861218750
22.01.2010 00:00:00.000,1.62015,1.62855,1.60785,1.61050,222343593750
24.01.2010 00:00:00.000,1.61143,1.61385,1.60871,1.61165,19034949218.75
25.01.2010 00:00:00.000,1.61170,1.62620,1.60965,1.62475,199072843750
26.01.2010 00:00:00.000,1.62475,1.62705,1.60950,1.61450,225984984375
27.01.2010 00:00:00.000,1.61450,1.62455,1.61085,1.61790,295472468750
28.01.2010 00:00:00.000,1.61790,1.62770,1.61135,1.61435,281882718750
29.01.2010 00:00:00.000,1.61440,1.61805,1.59785,1.59860,249560343750
31.01.2010 00:00:00.000,1.59981,1.59981,1.59375,1.59745,21209599609.375
01.02.2010 00:00:00.000,1.59745,1.59795,1.58520,1.59460,273228500000
02.02.2010 00:00:00.000,1.59455,1.59965,1.59045,1.59895,277121906250
03.02.2010 00:00:00.000,1.59895,1.60705,1.58780,1.59160,266596875000
04.02.2010 00:00:00.000,1.59160,1.59190,1.57320,1.57680,249277500000
05.02.2010 00:00:00.000,1.57680,1.57770,1.55595,1.56405,242504765625
07.02.2010 00:00:00.000,1.56395,1.56711,1.55835,1.56025,34996929687.5
08.02.2010 00:00:00.000,1.56025,1.56615,1.55360,1.55735,238154500000
09.02.2010 00:00:00.000,1.55745,1.57510,1.55630,1.56940,226758406250
10.02.2010 00:00:00.000,1.56940,1.57655,1.55720,1.56095,196210265625
11.02.2010 00:00:00.000,1.56095,1.57185,1.55605,1.57015,312740218750
12.02.2010 00:00:00.000,1.57015,1.57430,1.55815,1.56952,247528734375
14.02.2010 00:00:00.000,1.57060,1.57070,1.56465,1.56685,20049830078.125
15.02.2010 00:00:00.000,1.56670,1.57220,1.56135,1.56660,138733062500
16.02.2010 00:00:00.000,1.56680,1.57960,1.56285,1.57850,219616546875
17.02.2010 00:00:00.000,1.57845,1.58170,1.56673,1.56800,198439093750
18.02.2010 00:00:00.000,1.56805,1.56890,1.54075,1.54285,186684734375
19.02.2010 00:00:00.000,1.54305,1.54795,1.53535,1.54770,215536765625
21.02.2010 00:00:00.000,1.54728,1.54892,1.54335,1.54705,19291599609.375
22.02.2010 00:00:00.000,1.54715,1.55220,1.54490,1.55015,209124171875
23.02.2010 00:00:00.000,1.55010,1.55775,1.53945,1.54455,275982781250
24.02.2010 00:00:00.000,1.54455,1.54775,1.53875,1.54160,247898953125
25.02.2010 00:00:00.000,1.54160,1.54230,1.51900,1.52425,245833796875
26.02.2010 00:00:00.000,1.52415,1.53210,1.51535,1.52378,234541187500
28.02.2010 00:00:00.000,1.52485,1.52487,1.51305,1.51815,36345308593.75
01.03.2010 00:00:00.000,1.51805,1.52055,1.47840,1.49740,294694468750
02.03.2010 00:00:00.000,1.49740,1.50330,1.48555,1.50230,315990031250
03.03.2010 00:00:00.000,1.50245,1.51325,1.49770,1.51010,251959453125
04.03.2010 00:00:00.000,1.51025,1.51370,1.50070,1.50320,209595046875
05.03.2010 00:00:00.000,1.50330,1.51675,1.49935,1.51390,175232718750
07.03.2010 00:00:00.000,1.51322,1.51700,1.51142,1.51450,37701500000
08.03.2010 00:00:00.000,1.51450,1.51975,1.50320,1.50450,244122187500
09.03.2010 00:00:00.000,1.50450,1.50450,1.49370,1.50140,217301765625
10.03.2010 00:00:00.000,1.50150,1.50165,1.48740,1.49660,214759593750
11.03.2010 00:00:00.000,1.49665,1.50885,1.49470,1.50670,194185953125
12.03.2010 00:00:00.000,1.50675,1.52195,1.50270,1.51958,196874687500
14.03.2010 00:00:00.000,1.51928,1.52140,1.51588,1.51970,21522289062.5
15.03.2010 00:00:00.000,1.51965,1.52085,1.50205,1.50480,238938687500
16.03.2010 00:00:00.000,1.50480,1.52600,1.49785,1.52365,271923906250
17.03.2010 00:00:00.000,1.52365,1.53830,1.52100,1.53150,275098062500
18.03.2010 00:00:00.000,1.53150,1.53295,1.52175,1.52515,157930750000
19.03.2010 00:00:00.000,1.52525,1.52565,1.49900,1.50140,159533343750
21.03.2010 00:00:00.000,1.50165,1.50316,1.49754,1.49945,23720859375
22.03.2010 00:00:00.000,1.49945,1.51115,1.49320,1.51110,223313281250
23.03.2010 00:00:00.000,1.51105,1.51135,1.49740,1.50230,249910125000
24.03.2010 00:00:00.000,1.50230,1.50370,1.48570,1.48975,244533859375
25.03.2010 00:00:00.000,1.48980,1.50080,1.47995,1.48485,218112875000
26.03.2010 00:00:00.000,1.48490,1.49250,1.48115,1.49010,186253203125
28.03.2010 00:00:00.000,1.49010,1.49715,1.48904,1.49135,45144128906.25
29.03.2010 00:00:00.000,1.49135,1.50205,1.48940,1.49920,259990500000
30.03.2010 00:00:00.000,1.49920,1.51285,1.49760,1.50870,265131625000
31.03.2010 00:00:00.000,1.50865,1.52060,1.50445,1.51960,285289875000
01.04.2010 00:00:00.000,1.51955,1.53000,1.51805,1.52955,255082671875
02.04.2010 00:00:00.000,1.52950,1.52950,1.51830,1.52000,70969898437.5
04.04.2010 00:00:00.000,1.52090,1.52975,1.52010,1.52580,54723898437.5
05.04.2010 00:00:00.000,1.52580,1.53210,1.52245,1.52830,118164921875
06.04.2010 00:00:00.000,1.52830,1.52830,1.51300,1.52385,247406093750
07.04.2010 00:00:00.000,1.52385,1.52890,1.51395,1.52230,237507140625
08.04.2010 00:00:00.000,1.52230,1.53055,1.51425,1.52970,230045328125
09.04.2010 00:00:00.000,1.52970,1.53925,1.52685,1.53670,212399843750
11.04.2010 00:00:00.000,1.53808,1.54695,1.53662,1.54360,52446398437.5
12.04.2010 00:00:00.000,1.54360,1.54855,1.53535,1.53690,210211296875
13.04.2010 00:00:00.000,1.53680,1.54505,1.53375,1.53795,208394906250
14.04.2010 00:00:00.000,1.53795,1.54925,1.53780,1.54765,219990484375
15.04.2010 00:00:00.000,1.54765,1.55245,1.53865,1.54605,267723312500
16.04.2010 00:00:00.000,1.54605,1.54745,1.53539,1.53608,233873281250
18.04.2010 00:00:00.000,1.53620,1.53622,1.52710,1.52870,13443209960.9375
19.04.2010 00:00:00.000,1.52870,1.53445,1.51925,1.53330,248344062500
20.04.2010 00:00:00.000,1.53340,1.54345,1.52905,1.53640,243184546875
21.04.2010 00:00:00.000,1.53650,1.54410,1.53335,1.54155,276454656250
22.04.2010 00:00:00.000,1.54155,1.54745,1.53220,1.53425,313518312500
23.04.2010 00:00:00.000,1.53425,1.53990,1.52970,1.53770,277299781250
25.04.2010 00:00:00.000,1.53810,1.53940,1.53647,1.53875,53388511718.75
26.04.2010 00:00:00.000,1.53875,1.54990,1.53875,1.54775,300867406250
27.04.2010 00:00:00.000,1.54775,1.54775,1.52275,1.52610,344073187500
28.04.2010 00:00:00.000,1.52610,1.52895,1.51265,1.51935,323625343750
29.04.2010 00:00:00.000,1.51915,1.53655,1.51435,1.53440,280882687500
30.04.2010 00:00:00.000,1.53440,1.53920,1.52545,1.52730,223068140625
02.05.2010 00:00:00.000,1.52697,1.53405,1.52685,1.53005,59256750000
03.05.2010 00:00:00.000,1.53005,1.53115,1.52125,1.52445,198100453125
04.05.2010 00:00:00.000,1.52440,1.52665,1.50915,1.51375,311194750000
05.05.2010 00:00:00.000,1.51355,1.51745,1.50680,1.50995,286509031250
06.05.2010 00:00:00.000,1.50995,1.51490,1.47140,1.49025,282187750000
07.05.2010 00:00:00.000,1.49015,1.49390,1.44770,1.48020,236059703125
09.05.2010 00:00:00.000,1.48077,1.48916,1.47635,1.48090,52735058593.75
10.05.2010 00:00:00.000,1.48070,1.50555,1.47920,1.48360,202660546875
11.05.2010 00:00:00.000,1.48385,1.50055,1.47215,1.49545,201081312500
12.05.2010 00:00:00.000,1.49550,1.50455,1.48195,1.48495,238407546875
13.05.2010 00:00:00.000,1.48505,1.49185,1.45750,1.45930,210491593750
14.05.2010 00:00:00.000,1.45930,1.46410,1.44970,1.45313,245058484375
16.05.2010 00:00:00.000,1.45340,1.45480,1.44670,1.44785,43243589843.75
17.05.2010 00:00:00.000,1.44780,1.45105,1.42520,1.44665,210760015625
18.05.2010 00:00:00.000,1.44665,1.45245,1.42565,1.42585,252968125000
19.05.2010 00:00:00.000,1.42590,1.44695,1.42395,1.44240,251683484375
20.05.2010 00:00:00.000,1.44255,1.44610,1.42295,1.43985,242631046875
21.05.2010 00:00:00.000,1.43970,1.44970,1.43185,1.44675,213332484375
23.05.2010 00:00:00.000,1.44670,1.44910,1.44360,1.44455,39435679687.5
24.05.2010 00:00:00.000,1.44445,1.45300,1.43540,1.43875,218660125000
25.05.2010 00:00:00.000,1.43875,1.44510,1.42600,1.43930,255342312500
26.05.2010 00:00:00.000,1.43930,1.44440,1.43315,1.43945,222344500000
27.05.2010 00:00:00.000,1.43945,1.46085,1.43820,1.45670,221818937500
28.05.2010 00:00:00.000,1.45670,1.46120,1.44355,1.44643,234351296875
30.05.2010 00:00:00.000,1.44690,1.44812,1.43638,1.44665,27300199218.75
31.05.2010 00:00:00.000,1.44665,1.45520,1.44265,1.45085,110356117187.5
01.06.2010 00:00:00.000,1.45080,1.47245,1.44400,1.46735,242516328125
02.06.2010 00:00:00.000,1.46720,1.47715,1.45540,1.46725,211245031250
